epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,647.997,0.79683,0.54507,0.88469,0.88541,0.83283,0.89932,0.67774,0.98051,0.58404,0.98347,8.07578e-05,8.07578e-05,8.07578e-05
68,658.273,0.77709,0.53518,0.87818,0.89671,0.83348,0.89532,0.67644,0.97716,0.58698,0.984,7.84511e-05,7.84511e-05,7.84511e-05
69,665.319,0.79288,0.53873,0.8813,0.89099,0.84778,0.90357,0.67622,0.98435,0.58525,0.98516,7.61444e-05,7.61444e-05,7.61444e-05
70,672.647,0.80117,0.54847,0.8897,0.88854,0.84299,0.89864,0.67393,0.9833,0.59153,0.98094,7.38377e-05,7.38377e-05,7.38377e-05
71,682.009,0.78914,0.5342,0.8851,0.88938,0.84336,0.89599,0.67434,0.98134,0.58624,0.97831,7.1531e-05,7.1531e-05,7.1531e-05
72,690.678,0.79387,0.53032,0.88428,0.87705,0.8427,0.89288,0.66703,0.9918,0.58364,0.98517,6.92243e-05,6.92243e-05,6.92243e-05
73,698.67,0.78944,0.5304,0.88015,0.87461,0.84458,0.8867,0.66052,1.00183,0.58616,0.98732,6.69176e-05,6.69176e-05,6.69176e-05
74,706.902,0.77934,0.51619,0.87896,0.87021,0.8414,0.89086,0.66968,0.97515,0.57408,0.97944,6.46109e-05,6.46109e-05,6.46109e-05
75,716.076,0.78814,0.53429,0.88398,0.87023,0.84663,0.89788,0.67016,0.97849,0.57384,0.97895,6.23042e-05,6.23042e-05,6.23042e-05
76,723.86,0.77325,0.5143,0.87743,0.86334,0.85171,0.89981,0.67623,0.97533,0.57267,0.98169,5.99975e-05,5.99975e-05,5.99975e-05
77,730.866,0.77871,0.52813,0.87695,0.8847,0.82578,0.89131,0.66844,0.98002,0.58059,0.98085,5.76908e-05,5.76908e-05,5.76908e-05
78,741.726,0.7689,0.52896,0.87996,0.8754,0.83122,0.89031,0.67189,0.96927,0.56902,0.97875,5.53841e-05,5.53841e-05,5.53841e-05
79,750.271,0.77259,0.52191,0.87893,0.85591,0.85817,0.88814,0.6706,0.97164,0.56467,0.97927,5.30774e-05,5.30774e-05,5.30774e-05
80,756.934,0.76101,0.52579,0.8723,0.86327,0.84976,0.89182,0.67276,0.96689,0.56344,0.97773,5.07707e-05,5.07707e-05,5.07707e-05
81,765.331,0.75691,0.51801,0.87884,0.88275,0.85045,0.89507,0.6754,0.97037,0.55934,0.97909,4.8464e-05,4.8464e-05,4.8464e-05
82,772.361,0.75649,0.5145,0.87595,0.87339,0.85252,0.89858,0.68071,0.96726,0.56256,0.98143,4.61573e-05,4.61573e-05,4.61573e-05
83,781.201,0.75948,0.50753,0.87574,0.87544,0.85371,0.89814,0.68089,0.96473,0.56077,0.97395,4.38506e-05,4.38506e-05,4.38506e-05
84,793.187,0.75021,0.49636,0.87014,0.90992,0.84381,0.89431,0.6759,0.97248,0.56455,0.97756,4.15439e-05,4.15439e-05,4.15439e-05
85,800.103,0.75987,0.51321,0.87809,0.88002,0.83722,0.89426,0.67543,0.96181,0.56477,0.97371,3.92372e-05,3.92372e-05,3.92372e-05
86,808.379,0.75445,0.51316,0.87384,0.92761,0.81345,0.89224,0.67631,0.96673,0.56699,0.97595,3.69305e-05,3.69305e-05,3.69305e-05
87,815.778,0.75259,0.51018,0.87448,0.91331,0.82951,0.8928,0.67775,0.9663,0.56265,0.97842,3.46238e-05,3.46238e-05,3.46238e-05
88,824.558,0.74542,0.50269,0.87207,0.88035,0.83561,0.89149,0.6727,0.97468,0.5658,0.98142,3.23171e-05,3.23171e-05,3.23171e-05
89,835.144,0.74447,0.50889,0.87361,0.88507,0.8265,0.88898,0.67046,0.96604,0.56286,0.9791,3.00104e-05,3.00104e-05,3.00104e-05
90,842.792,0.74129,0.49839,0.86984,0.8975,0.81614,0.8898,0.67379,0.96578,0.56215,0.98009,2.77037e-05,2.77037e-05,2.77037e-05
91,853.785,0.75306,0.45836,0.88273,0.88068,0.83134,0.8943,0.6736,0.9827,0.57038,0.98439,2.5397e-05,2.5397e-05,2.5397e-05
92,862.785,0.71462,0.42474,0.86859,0.86881,0.84087,0.89552,0.67701,0.96315,0.57292,0.97967,2.30903e-05,2.30903e-05,2.30903e-05
93,872.229,0.71066,0.42222,0.86921,0.85437,0.85856,0.89553,0.67732,0.96538,0.5732,0.97598,2.07836e-05,2.07836e-05,2.07836e-05
94,881.87,0.68921,0.41059,0.86391,0.89413,0.82469,0.89767,0.67719,0.96396,0.56912,0.97874,1.84769e-05,1.84769e-05,1.84769e-05
95,888.824,0.69104,0.40725,0.86536,0.88992,0.82647,0.89626,0.67529,0.96387,0.5672,0.97616,1.61702e-05,1.61702e-05,1.61702e-05
96,897.025,0.68254,0.39943,0.86289,0.91023,0.83292,0.89778,0.67779,0.96208,0.56472,0.97573,1.38635e-05,1.38635e-05,1.38635e-05
97,903.707,0.69225,0.40778,0.86703,0.92017,0.82608,0.89868,0.6818,0.96125,0.56218,0.97628,1.15568e-05,1.15568e-05,1.15568e-05
98,913.165,0.68552,0.40045,0.86172,0.92073,0.82564,0.90108,0.68163,0.9641,0.56096,0.9775,9.2501e-06,9.2501e-06,9.2501e-06
99,920.667,0.67725,0.39853,0.86691,0.92712,0.82119,0.90288,0.68285,0.9627,0.55872,0.97672,6.9434e-06,6.9434e-06,6.9434e-06
100,929.259,0.68866,0.40996,0.86549,0.92965,0.82436,0.90216,0.68317,0.96185,0.55691,0.97667,4.6367e-06,4.6367e-06,4.6367e-06
